source,target,weight,typetrans,fraud
C119537158,M151143676,72.61,es_barsandrestaurants,0
C2035341190,M151143676,7.64,es_barsandrestaurants,0
C1986443469,M1842530320,146.58,es_tech,0
C1449000407,M732195782,16.44,es_travel,0
C927766810,M151143676,77.74,es_barsandrestaurants,0
C779868884,M855959430,18.48,es_hyper,0
C917831365,M1946091778,44.52,es_wellnessandbeauty,0
C1605182199,M1741626453,157.12,es_sportsandtoys,0
C1440811710,M1600850729,113.76,es_fashion,0
C1873506157,M1198415165,37.45,es_wellnessandbeauty,0
C1464489812,M1741626453,264.56,es_sportsandtoys,1
C2126563017,M1741626453,785.45,es_sportsandtoys,1
C1975392482,M1600850729,153.77,es_fashion,0
C612230385,M980657600,382.54,es_sportsandtoys,1
C76969430,M1053599405,273.9,es_health,0
C2075157607,M855959430,8.11,es_hyper,0
C510046708,M1535107174,9.54,es_wellnessandbeauty,0
C819388154,M151143676,114.44,es_barsandrestaurants,0
C1293579037,M151143676,1.69,es_barsandrestaurants,0
C750714109,M209847108,45.27,es_wellnessandbeauty,0
C1569014356,M1842530320,49.21,es_tech,0
C136606306,M348934600,25.33,es_transportation,0
C2076439645,M855959430,10.12,es_hyper,0
C1358225719,M348934600,2.67,es_transportation,0
C1637357651,M209847108,31.23,es_wellnessandbeauty,0
C1394454342,M1535107174,26.28,es_wellnessandbeauty,0
C875898611,M1416436880,195.63,es_tech,0
C2138532527,M547558035,3.25,es_fashion,0
C187965576,M855959430,46.58,es_hyper,0
C2125297333,M348934600,46.3,es_transportation,0
C642324097,M1535107174,101.16,es_wellnessandbeauty,0
C964635168,M855959430,52.63,es_hyper,0
C371812005,M1823072687,3.1,es_transportation,0
C1179833140,M855959430,46.0,es_hyper,0
C1529464275,M855959430,40.83,es_hyper,0
C1862169273,M85975013,49.71,es_food,0
C17589297,M855959430,101.27,es_hyper,0
C751786199,M85975013,53.82,es_food,0
C995844287,M1535107174,57.43,es_wellnessandbeauty,0
C1734487337,M855959430,133.69,es_hyper,1
C245117318,M855959430,13.62,es_hyper,1
C917831365,M348934600,26.91,es_transportation,0
C35785606,M1053599405,185.75,es_health,0
C602498884,M348934600,4.36,es_transportation,0
C469767739,M151143676,21.17,es_barsandrestaurants,0
C2078039202,M1198415165,157.48,es_wellnessandbeauty,0
C954636025,M348934600,41.53,es_transportation,0
C573965612,M855959430,53.65,es_hyper,0
C1807153148,M855959430,20.2,es_hyper,0
C585317135,M855959430,17.74,es_hyper,0
C1161671147,M151143676,73.86,es_barsandrestaurants,0
C1543709139,M1198415165,12.18,es_wellnessandbeauty,0
C1517707344,M151143676,3.74,es_barsandrestaurants,0
C59433821,M1823072687,51.98,es_transportation,0
C1569939854,M151143676,75.39,es_barsandrestaurants,0
C2144562698,M1741626453,70.39,es_sportsandtoys,0
C2103685620,M855959430,3.0,es_hyper,0
C1465725042,M1823072687,23.15,es_transportation,0
C297432139,M1198415165,4.53,es_wellnessandbeauty,0
C65424442,M1535107174,46.25,es_wellnessandbeauty,0
C1159406873,M1649169323,8.44,es_sportsandtoys,0
C603564532,M85975013,44.2,es_food,0
C2075935351,M1946091778,64.52,es_wellnessandbeauty,0
C1486069778,M480139044,126.34,es_health,1
C1991822900,M480139044,207.63,es_health,1
C521087514,M151143676,19.7,es_barsandrestaurants,0
C1540577903,M50039827,44.41,es_health,0
C1642125108,M1535107174,31.96,es_wellnessandbeauty,0
C363287468,M1888755466,16.07,es_otherservices,0
C1582366224,M1946091778,59.76,es_wellnessandbeauty,0
C1413774656,M348934600,21.64,es_transportation,0
C20239039,M348934600,45.61,es_transportation,0
C227554892,M855959430,15.13,es_hyper,0
C337109624,M151143676,17.67,es_barsandrestaurants,0
C1348957967,M1600850729,87.42,es_fashion,0
C883419967,M732195782,438.91,es_travel,0
C1309027409,M348934600,34.79,es_transportation,0
C1980965530,M151143676,100.0,es_barsandrestaurants,0
C418638324,M1842530320,64.26,es_tech,0
C23740594,M151143676,66.71,es_barsandrestaurants,0
C1123627503,M1053599405,21.32,es_health,0
C1709958311,M151143676,71.35,es_barsandrestaurants,0
C1823983599,M151143676,1.78,es_barsandrestaurants,0
C639558755,M151143676,56.94,es_barsandrestaurants,0
C752270622,M209847108,29.94,es_wellnessandbeauty,0
C2070997908,M78078399,83.2,es_wellnessandbeauty,0
C364635096,M349281107,79.18,es_fashion,0
C1122835446,M1946091778,15.37,es_wellnessandbeauty,0
C1337923906,M1946091778,8.23,es_wellnessandbeauty,0
C1848884864,M151143676,10.36,es_barsandrestaurants,0
C417912401,M1946091778,83.69,es_wellnessandbeauty,0
C1304621872,M1842530320,97.09,es_tech,0
C1763624260,M151143676,74.73,es_barsandrestaurants,0
C1269635185,M1600850729,30.24,es_fashion,0
C830078297,M1823072687,25.04,es_transportation,0
C140648396,M547558035,14.91,es_fashion,0
C951578955,M1198415165,120.31,es_wellnessandbeauty,0
C1087788850,M151143676,18.48,es_barsandrestaurants,0
C92282564,M348934600,44.66,es_transportation,0
C1118984324,M348934600,48.29,es_transportation,0
C1780497356,M855959430,20.21,es_hyper,0
C987677028,M1823072687,83.0,es_transportation,0
C1995039136,M2011752106,60.83,es_hotelservices,0
C1117294574,M348934600,44.59,es_transportation,0
C637279747,M1741626453,56.78,es_sportsandtoys,0
C1683902488,M209847108,79.39,es_wellnessandbeauty,0
C279936687,M1741626453,35.41,es_sportsandtoys,0
C778028540,M151143676,126.86,es_barsandrestaurants,0
C292682242,M1823072687,11.11,es_transportation,0
C1776310825,M85975013,91.69,es_food,0
C755615643,M692898500,9.17,es_health,0
C1653588482,M1535107174,106.12,es_wellnessandbeauty,0
C394979408,M1649169323,152.78,es_sportsandtoys,0
C983636862,M840466850,31.31,es_tech,0
C1240209240,M151143676,22.85,es_barsandrestaurants,0
C1951890364,M151143676,15.11,es_barsandrestaurants,0
C47652503,M45060432,96.82,es_hotelservices,0
C851871528,M677738360,59.11,es_contents,0
C1906711479,M1198415165,79.39,es_wellnessandbeauty,0
C438204842,M547558035,44.5,es_fashion,0
C1952937534,M1872033263,0.13,es_home,0
C1101633489,M151143676,9.73,es_barsandrestaurants,0
C379301962,M1198415165,28.96,es_wellnessandbeauty,0
C1864768620,M1823072687,16.2,es_transportation,0
C423891632,M85975013,21.22,es_food,0
C1660043980,M855959430,30.91,es_hyper,0
C26045684,M151143676,31.45,es_barsandrestaurants,0
C1043944424,M151143676,24.17,es_barsandrestaurants,0
C46027917,M480139044,31.05,es_health,1
C1928842916,M480139044,57.67,es_health,1
C261398093,M1823072687,38.75,es_transportation,0
C1886601622,M855959430,35.14,es_hyper,0
C1593769010,M1823072687,4.78,es_transportation,0
C1674379117,M1823072687,23.92,es_transportation,0
C1975392482,M1823072687,78.73,es_transportation,0
C1464489812,M840466850,995.2,es_tech,1
C1787537369,M85975013,64.78,es_food,0
C766302474,M1198415165,144.08,es_wellnessandbeauty,0
C655150548,M209847108,37.5,es_wellnessandbeauty,0
C1439880421,M151143676,55.88,es_barsandrestaurants,0
C1572610482,M1198415165,500.43,es_wellnessandbeauty,1
C1312615175,M1198415165,287.36,es_wellnessandbeauty,1
C1386324281,M1198415165,62.39,es_wellnessandbeauty,0
C781096653,M1823072687,21.41,es_transportation,0
C1837200499,M480139044,181.49,es_health,0
C181787207,M1823072687,53.69,es_transportation,0
C1870640785,M1823072687,35.47,es_transportation,0
C192974759,M1535107174,35.96,es_wellnessandbeauty,0
C1227773968,M85975013,111.72,es_food,0
C492776916,M209847108,53.69,es_wellnessandbeauty,0
C1708403061,M151143676,35.9,es_barsandrestaurants,0
C597908249,M348934600,5.0,es_transportation,0
C107125195,M151143676,29.08,es_barsandrestaurants,0
C1347371891,M151143676,21.65,es_barsandrestaurants,0
C102256008,M923029380,93.78,es_home,0
C998987490,M1600850729,44.77,es_fashion,0
C638223659,M855959430,39.26,es_hyper,0
C1663162700,M1535107174,86.28,es_wellnessandbeauty,0
C1273692645,M1198415165,28.88,es_wellnessandbeauty,0
C106333716,M1823072687,30.19,es_transportation,0
C1557540123,M209847108,18.85,es_wellnessandbeauty,0
C801797246,M1888755466,72.52,es_otherservices,0
C232299558,M151143676,50.9,es_barsandrestaurants,0
C1663641926,M349281107,115.4,es_fashion,0
C1225704566,M349281107,8.19,es_fashion,0
C615281750,M732195782,1606.78,es_travel,0
C1134533551,M1888755466,75.78,es_otherservices,0
C586511331,M50039827,33.21,es_health,0
C1339724832,M348875670,12.13,es_hotelservices,0
C1266329800,M209847108,5.05,es_wellnessandbeauty,0
C597262762,M855959430,22.85,es_hyper,0
C602544155,M1823072687,29.87,es_transportation,0
C98014803,M1535107174,71.4,es_wellnessandbeauty,0
C1166337448,M1873032707,971.32,es_hotelservices,1
C1994736634,M1873032707,201.88,es_hotelservices,1
C630392370,M855959430,58.26,es_hyper,0
C928479694,M840466850,154.24,es_tech,0
C2068909690,M1198415165,93.46,es_wellnessandbeauty,0
C1233802034,M1198415165,55.76,es_wellnessandbeauty,0
C1309403692,M1535107174,73.82,es_wellnessandbeauty,0
C1561544871,M1873032707,126.94,es_hotelservices,0
C862267590,M85975013,50.33,es_food,0
C1893177739,M151143676,109.55,es_barsandrestaurants,0
C1166683343,M1823072687,12.15,es_transportation,0
C1148772789,M480139044,87.93,es_health,0
C1057813963,M2122776122,99.62,es_home,0
C1502804084,M1823072687,2.14,es_transportation,0
C986553990,M1600850729,231.51,es_fashion,0
C1208123566,M480139044,167.17,es_health,0
C367433559,M677738360,101.31,es_contents,0
C2006367089,M209847108,60.2,es_wellnessandbeauty,0
C1259046770,M855959430,13.36,es_hyper,0
C1059534096,M85975013,73.8,es_food,0
C636259913,M85975013,18.18,es_food,0
C1084672760,M85975013,74.32,es_food,0
C503124737,M348934600,6.1,es_transportation,0
C836959718,M17379832,99.74,es_sportsandtoys,1
C2027310658,M17379832,211.78,es_sportsandtoys,1
C546386486,M855959430,14.5,es_hyper,0
C734817849,M151143676,60.9,es_barsandrestaurants,0
C416655198,M855959430,28.01,es_hyper,0
C1899748276,M1823072687,13.2,es_transportation,0
C1708732499,M1823072687,39.66,es_transportation,0
C165037464,M1313686961,21.63,es_contents,0
C442137737,M1946091778,98.63,es_wellnessandbeauty,0
C1702404555,M209847108,40.61,es_wellnessandbeauty,0
C368299362,M78078399,40.79,es_wellnessandbeauty,0
C114981535,M85975013,40.63,es_food,0
C1935661715,M85975013,71.42,es_food,0
C1506293914,M85975013,32.83,es_food,0
C150273597,M1053599405,106.62,es_health,0
C1207877529,M1053599405,94.62,es_health,0
C1802714004,M855959430,86.66,es_hyper,0
C74848504,M349281107,220.29,es_fashion,0
C15276068,M1946091778,30.24,es_wellnessandbeauty,0
C1645276019,M348934600,51.78,es_transportation,0
C1327124397,M85975013,26.72,es_food,0
C900235765,M348934600,15.5,es_transportation,0
C2063574289,M855959430,74.43,es_hyper,0
C2055009466,M1823072687,34.5,es_transportation,0
C968150727,M151143676,156.11,es_barsandrestaurants,1
C2004941826,M151143676,106.69,es_barsandrestaurants,1
C1238755034,M855959430,72.22,es_hyper,0
C610735261,M840466850,55.96,es_tech,0
C846609537,M85975013,42.53,es_food,0
C1090604904,M85975013,59.57,es_food,0
C1739741081,M151143676,83.31,es_barsandrestaurants,0
C696720817,M1888755466,40.94,es_otherservices,0
C2042324703,M1888755466,33.22,es_otherservices,0
C531724764,M209847108,89.96,es_wellnessandbeauty,0
C299734038,M692898500,37.08,es_health,0
C1536083561,M1823072687,26.53,es_transportation,0
C402994775,M855959430,27.24,es_hyper,0
C399875163,M1823072687,31.66,es_transportation,0
C1049957303,M85975013,3.32,es_food,0
C343535530,M1913465890,17.29,es_health,0
C1626806996,M151143676,38.06,es_barsandrestaurants,0
C1902104464,M480139044,204.31,es_health,1
C1459810780,M1823072687,19.97,es_transportation,0
C2027631548,M980657600,89.98,es_sportsandtoys,0
C207576555,M855959430,22.38,es_hyper,0
C1101633489,M480139044,91.85,es_health,1
C1872803698,M348934600,7.9,es_transportation,0
C1977646698,M855959430,28.02,es_hyper,0
C702798720,M1198415165,42.47,es_wellnessandbeauty,0
C2120153320,M1053599405,124.7,es_health,0
C783189419,M692898500,130.26,es_health,0
C1067134113,M348934600,23.74,es_transportation,0
C1903856065,M209847108,7.1,es_wellnessandbeauty,0
C378899672,M151143676,12.27,es_barsandrestaurants,0
C1885719603,M1842530320,162.86,es_tech,0
C1451561221,M1600850729,1.9,es_fashion,0
C313157633,M855959430,69.16,es_hyper,0
C907665937,M349281107,127.24,es_fashion,0
C1035681921,M677738360,111.4,es_contents,0
C380412694,M85975013,21.13,es_food,0
C656075868,M85975013,52.65,es_food,0
C886993530,M1823072687,19.63,es_transportation,0
C460167545,M85975013,12.06,es_food,0
C497553923,M692898500,172.68,es_health,0
C1956908177,M855959430,5.86,es_hyper,0
C1315400589,M85975013,49.34,es_food,0
C995746715,M547558035,105.97,es_fashion,0
C1960297159,M85975013,32.06,es_food,0
C1149179033,M209847108,5.28,es_wellnessandbeauty,0
C601235628,M1946091778,34.85,es_wellnessandbeauty,0
C1849046345,M480139044,384.11,es_health,1
C422403315,M980657600,406.5,es_sportsandtoys,1
C72452640,M1842530320,62.89,es_tech,0
C677660361,M151143676,36.34,es_barsandrestaurants,0
C343982358,M692898500,116.76,es_health,0
C1165454845,M1823072687,37.17,es_transportation,0
C1869757503,M1600850729,90.02,es_fashion,0
C1474149613,M151143676,32.57,es_barsandrestaurants,0
C1928637369,M348934600,3.82,es_transportation,0
C419754917,M1888755466,20.13,es_otherservices,0
C1605642067,M349281107,12.69,es_fashion,0
C1100570635,M692898500,0.36,es_health,0
C512928735,M1535107174,86.06,es_wellnessandbeauty,0
C532118459,M1823072687,32.35,es_transportation,0
C1483054025,M209847108,50.58,es_wellnessandbeauty,0
C775533998,M1649169323,244.2,es_sportsandtoys,0
C1057259459,M348934600,18.64,es_transportation,0
C285513182,M480139044,209.57,es_health,0
C1939799337,M1053599405,173.18,es_health,0
C255101565,M1600850729,129.27,es_fashion,0
C815186263,M348934600,35.86,es_transportation,0
C1902837467,M1053599405,21.81,es_health,0
C1983995504,M1600850729,11.26,es_fashion,0
C1343106500,M85975013,54.78,es_food,0
C193297871,M1823072687,18.42,es_transportation,0
C1348847019,M1888755466,10.25,es_otherservices,0
C776775180,M85975013,1.79,es_food,0
C1440811710,M1823072687,28.23,es_transportation,0
C1769927077,M855959430,35.57,es_hyper,0
C885237696,M348875670,22.05,es_hotelservices,0
C785603838,M85975013,18.9,es_food,0
C682814633,M85975013,20.08,es_food,0
C819690995,M85975013,44.37,es_food,0
C386332652,M151143676,58.16,es_barsandrestaurants,0
C1098012335,M1535107174,61.48,es_wellnessandbeauty,0
C1539370210,M1600850729,91.05,es_fashion,0
C1133298590,M480139044,163.4,es_health,0
C1635987808,M85975013,86.02,es_food,0
C1014124305,M1823072687,38.73,es_transportation,0
C142251484,M1946091778,35.34,es_wellnessandbeauty,0
C1428252955,M692898500,30.56,es_health,0
C792820521,M547558035,4.05,es_fashion,0
C1978250683,M480139044,402.29,es_health,1
C1149495561,M855959430,54.15,es_hyper,0
C1314174420,M855959430,2.6,es_hyper,0
C722887134,M855959430,36.7,es_hyper,0
C1918064652,M348934600,84.2,es_transportation,0
C662836745,M855959430,12.78,es_hyper,0
C1821681988,M349281107,30.02,es_fashion,0
C868061193,M151143676,60.15,es_barsandrestaurants,0
C1402381285,M1823072687,18.73,es_transportation,0
C1728647108,M1600850729,10.33,es_fashion,0
C1934886086,M855959430,29.85,es_hyper,0
C2130871815,M480139044,19.09,es_health,0
C1590275312,M480139044,128.78,es_health,0
C834739424,M1946091778,125.37,es_wellnessandbeauty,0
C1768220463,M348934600,31.14,es_transportation,0
C2007043031,M1313686961,36.66,es_contents,0
C1242686524,M547558035,156.86,es_fashion,0
C1788358708,M151143676,43.77,es_barsandrestaurants,0
C942160317,M1842530320,179.25,es_tech,0
C950325755,M1842530320,31.48,es_tech,0
C1674674654,M1913465890,156.51,es_health,0
C1229114783,M348934600,14.59,es_transportation,0
C1480799932,M85975013,5.94,es_food,0
C1075787773,M1823072687,19.4,es_transportation,0
C878904462,M151143676,9.1,es_barsandrestaurants,0
C908646797,M480139044,51.36,es_health,0
C859741683,M855959430,55.02,es_hyper,0
C893911190,M1946091778,90.47,es_wellnessandbeauty,0
C1541224095,M1649169323,24.29,es_sportsandtoys,0
C2110878299,M2122776122,7.4,es_home,0
C804094956,M151143676,62.08,es_barsandrestaurants,0
C1658450442,M1535107174,58.76,es_wellnessandbeauty,0
C223315547,M855959430,26.52,es_hyper,0
C48179336,M1888755466,73.43,es_otherservices,0
C1818893825,M547558035,34.53,es_fashion,0
C1379018843,M855959430,30.58,es_hyper,0
C2004941826,M480139044,268.72,es_health,1
C869954068,M209847108,7.19,es_wellnessandbeauty,0
C764950264,M50039827,385.31,es_health,0
C647327489,M855959430,54.89,es_hyper,0
C929919235,M1535107174,35.34,es_wellnessandbeauty,0
C1497135910,M480139044,152.34,es_health,0
C1299368401,M85975013,45.29,es_food,0
C1207935724,M1888755466,43.15,es_otherservices,0
C816519533,M1823072687,49.69,es_transportation,0
C578309168,M1823072687,15.62,es_transportation,0
C496697462,M480139044,259.35,es_health,0
C1216919532,M1198415165,37.54,es_wellnessandbeauty,0
C1156188729,M209847108,29.51,es_wellnessandbeauty,0
C2083329818,M151143676,4.6,es_barsandrestaurants,0
C74457300,M151143676,44.04,es_barsandrestaurants,0
C737765767,M85975013,85.21,es_food,0
C299357678,M209847108,82.15,es_wellnessandbeauty,0
C1991822900,M1823072687,20.88,es_transportation,0
C2075699398,M1913465890,26.76,es_health,0
C1956971543,M1600850729,6.09,es_fashion,0
C1959541246,M1600850729,1.81,es_fashion,0
C1965496749,M840466850,41.27,es_tech,0
C800272493,M732195782,388.53,es_travel,0
C924804429,M1823072687,3.37,es_transportation,0
C625569664,M480139044,12.96,es_health,0
C474847450,M1535107174,76.16,es_wellnessandbeauty,0
C2057462116,M151143676,22.29,es_barsandrestaurants,0
C277720476,M348934600,18.94,es_transportation,0
C1433132752,M151143676,22.47,es_barsandrestaurants,0
C1463356115,M348934600,6.36,es_transportation,0
C1797237747,M1888755466,116.69,es_otherservices,0
C732095806,M151143676,18.35,es_barsandrestaurants,0
C691894544,M50039827,145.35,es_health,0
C1775611696,M209847108,8.54,es_wellnessandbeauty,0
C532292379,M85975013,11.71,es_food,0
C10263180,M1600850729,32.36,es_fashion,0
C1986443469,M1823072687,32.75,es_transportation,0
C227356089,M855959430,163.53,es_hyper,1
C1668825144,M855959430,217.52,es_hyper,1
C490238464,M1842530320,178.17,es_tech,0
C1100053869,M78078399,88.51,es_wellnessandbeauty,0
C1440811710,M85975013,40.71,es_food,0
C942160317,M1823072687,17.82,es_transportation,0
C362654279,M209847108,31.1,es_wellnessandbeauty,0
C249282739,M677738360,65.2,es_contents,0
C1591441443,M1913465890,36.15,es_health,0
C761606185,M151143676,4.72,es_barsandrestaurants,0
C43587827,M151143676,16.43,es_barsandrestaurants,0
C295362058,M85975013,16.97,es_food,0
C2085186254,M1535107174,35.49,es_wellnessandbeauty,0
C878904462,M348934600,49.63,es_transportation,0
C259158925,M855959430,1.17,es_hyper,0
C700940580,M85975013,41.32,es_food,0
C1149495561,M348934600,34.86,es_transportation,0
C2076439645,M1888755466,88.3,es_otherservices,0
C130295904,M151143676,19.85,es_barsandrestaurants,0
C564451627,M151143676,22.15,es_barsandrestaurants,0
C1459810780,M85975013,22.69,es_food,0
C2027892936,M855959430,31.69,es_hyper,0
C781096653,M1053599405,6.37,es_health,0
C750714109,M923029380,66.81,es_home,0
C634714812,M349281107,48.74,es_fashion,0
C629942205,M1649169323,183.98,es_sportsandtoys,0
C601235628,M348934600,3.88,es_transportation,0
C998987490,M1823072687,28.44,es_transportation,0
C1025104996,M349281107,95.41,es_fashion,0
C954359387,M480139044,110.38,es_health,0
C1261640227,M151143676,72.35,es_barsandrestaurants,0
C1754160937,M692898500,50.41,es_health,0
C911139709,M85975013,27.06,es_food,0
C17589297,M348934600,31.08,es_transportation,0
C1849046345,M1741626453,760.81,es_sportsandtoys,1
C1734948367,M1741626453,147.4,es_sportsandtoys,1
C1728647108,M1823072687,54.36,es_transportation,0
C92426600,M209847108,129.22,es_wellnessandbeauty,0
C1304621872,M1823072687,13.32,es_transportation,0
C1821035128,M349281107,3.22,es_fashion,0
C33256704,M855959430,93.0,es_hyper,0
C347453747,M855959430,16.75,es_hyper,0
C837031785,M1198415165,136.18,es_wellnessandbeauty,1
C1685492470,M1198415165,34.9,es_wellnessandbeauty,1
C2075935351,M348934600,54.1,es_transportation,0
C1717543260,M349281107,26.25,es_fashion,0
C56197730,M1600850729,10.82,es_fashion,0
C662948645,M85975013,19.63,es_food,0
C2054744914,M1913465890,86.33,es_health,0
C1054818236,M1053599405,17.23,es_health,0
C1174217921,M547558035,59.21,es_fashion,0
C2059136665,M1600850729,27.44,es_fashion,0
C119274188,M480139044,30.64,es_health,0
C841747618,M1741626453,10.74,es_sportsandtoys,0
C778323844,M1053599405,74.28,es_health,0
C869565327,M1600850729,93.64,es_fashion,0
C391642320,M1053599405,86.69,es_health,0
C1869757503,M1823072687,57.43,es_transportation,0
C1043944424,M348934600,45.24,es_transportation,0
C908342050,M1842530320,49.73,es_tech,0
C181787207,M1946091778,53.14,es_wellnessandbeauty,0
C1896850232,M1600850729,57.78,es_fashion,0
C790395954,M85975013,24.32,es_food,0
C2075898645,M85975013,81.3,es_food,0
C1279143519,M1600850729,45.08,es_fashion,0
C1818893825,M480139044,85.67,es_health,0
C1216867117,M1535107174,39.19,es_wellnessandbeauty,0
C1087747329,M855959430,11.7,es_hyper,0
C644590864,M1842530320,193.79,es_tech,0
C1597289593,M855959430,10.43,es_hyper,0
C1338396147,M1053599405,85.32,es_health,0
C830856919,M855959430,19.25,es_hyper,0
C356750222,M855959430,89.0,es_hyper,0
C602544155,M1053599405,41.36,es_health,0
C571876967,M855959430,33.52,es_hyper,0
C1232523772,M855959430,41.61,es_hyper,0
C59149030,M1872033263,218.15,es_home,0
C950325755,M1823072687,30.69,es_transportation,0
C430880678,M151143676,7.97,es_barsandrestaurants,0
C255101565,M1823072687,37.37,es_transportation,0
C1474149613,M348934600,23.89,es_transportation,0
C2095429384,M1946091778,45.41,es_wellnessandbeauty,0
C47652503,M348934600,6.63,es_transportation,0
C1686676187,M1946091778,113.07,es_wellnessandbeauty,0
C2016264883,M85975013,71.56,es_food,0
C696806398,M1913465890,26.84,es_health,0
C1537903478,M480139044,157.67,es_health,0
C1897792872,M1535107174,32.16,es_wellnessandbeauty,0
C1191069340,M1053599405,248.56,es_health,0
C430579454,M855959430,276.69,es_hyper,1
C553121592,M855959430,112.06,es_hyper,1
C1059874896,M151143676,83.43,es_barsandrestaurants,0
C609452246,M151143676,52.06,es_barsandrestaurants,0
C285306155,M855959430,32.4,es_hyper,0
C915430510,M151143676,18.84,es_barsandrestaurants,0
C1508373758,M78078399,160.62,es_wellnessandbeauty,0
C1959541246,M1823072687,27.77,es_transportation,0
C1253245889,M1535107174,82.96,es_wellnessandbeauty,0
C735563623,M85975013,26.31,es_food,0
C1817842389,M480139044,253.29,es_health,0
C1599273075,M209847108,88.67,es_wellnessandbeauty,0
C76052944,M855959430,24.48,es_hyper,0
C208151769,M547558035,26.93,es_fashion,0
C199664659,M480139044,147.29,es_health,0
C1426420214,M85975013,20.82,es_food,0
C1070277785,M209847108,25.54,es_wellnessandbeauty,0
C755615643,M547558035,28.81,es_fashion,0
C2031701237,M50039827,1.42,es_health,0
C1978250683,M151143676,129.36,es_barsandrestaurants,1
C851871528,M1823072687,33.59,es_transportation,0
C1642592478,M209847108,39.82,es_wellnessandbeauty,0
C203802515,M348934600,24.94,es_transportation,0
C978276840,M45060432,1.43,es_hotelservices,0
C1539370210,M1823072687,13.29,es_transportation,0
C374616385,M1888755466,381.93,es_otherservices,1
C507831273,M1888755466,124.41,es_otherservices,1
C1141481813,M1352454843,26.91,es_hotelservices,0
C274747841,M855959430,26.53,es_hyper,0
C553121592,M495352832,285.21,es_travel,0
C497553923,M1198415165,13.36,es_wellnessandbeauty,0
C282483842,M1352454843,2.33,es_hotelservices,0
C413242191,M855959430,12.47,es_hyper,0
C1903013338,M980657600,18.87,es_sportsandtoys,0
C189036899,M980657600,437.59,es_sportsandtoys,1
C2113737065,M980657600,260.51,es_sportsandtoys,1
C1936855292,M855959430,115.57,es_hyper,0
C677202538,M151143676,49.18,es_barsandrestaurants,0
C616715154,M1741626453,189.58,es_sportsandtoys,0
C1238755034,M1741626453,85.58,es_sportsandtoys,0
C1802570035,M2122776122,206.3,es_home,0
C1978250683,M1741626453,239.47,es_sportsandtoys,1
C1995719338,M1888755466,18.13,es_otherservices,0
C893911190,M348934600,43.14,es_transportation,0
C1679033854,M1913465890,26.67,es_health,0
C455036670,M151143676,28.12,es_barsandrestaurants,0
C804094956,M1198415165,63.23,es_wellnessandbeauty,0
C1457264318,M1946091778,22.71,es_wellnessandbeauty,0
C384136428,M50039827,46.54,es_health,0
C579648989,M151143676,28.7,es_barsandrestaurants,0
C1509718305,M1053599405,164.8,es_health,0
C610735261,M1823072687,4.64,es_transportation,0
C10263180,M1823072687,35.97,es_transportation,0
C649077628,M1198415165,102.57,es_wellnessandbeauty,0
C1646244537,M209847108,93.75,es_wellnessandbeauty,0
C59713083,M855959430,29.0,es_hyper,0
C1433092877,M209847108,0.1,es_wellnessandbeauty,0
C1983995504,M1823072687,4.69,es_transportation,0
C416536713,M1600850729,68.71,es_fashion,0
C859741683,M348934600,39.9,es_transportation,0
C465897830,M1535107174,103.88,es_wellnessandbeauty,0
C1156509589,M855959430,50.16,es_hyper,0
C1615671416,M1823072687,7.27,es_transportation,0
C1454671890,M855959430,62.45,es_hyper,0
C1809945143,M209847108,64.47,es_wellnessandbeauty,0
C236847402,M151143676,78.33,es_barsandrestaurants,0
C507179979,M151143676,70.55,es_barsandrestaurants,0
C764950264,M923029380,132.9,es_home,0
C823891015,M855959430,19.07,es_hyper,0
C1396720108,M85975013,5.86,es_food,0
C880450043,M480139044,13.77,es_health,0
C371570992,M855959430,56.65,es_hyper,0
C1978080967,M2122776122,67.2,es_home,0
C1962291095,M855959430,5.54,es_hyper,0
C1962882634,M480139044,172.69,es_health,0
C279066833,M1872033263,142.76,es_home,0
C819388154,M348934600,4.65,es_transportation,0
C1529207541,M45060432,28.39,es_hotelservices,0
C956954767,M1649169323,2.26,es_sportsandtoys,0
C1199849921,M85975013,37.8,es_food,0
C1347371891,M692898500,151.83,es_health,0
C1379018843,M349281107,62.61,es_fashion,0
C2095181585,M480139044,24.47,es_health,0
C475340225,M85975013,19.06,es_food,0
C432449092,M1946091778,97.51,es_wellnessandbeauty,0
C924804429,M85975013,26.99,es_food,0
C1802714004,M348934600,30.82,es_transportation,0
C1916796804,M1649169323,88.6,es_sportsandtoys,0
C638119430,M855959430,30.83,es_hyper,0
C508633218,M1535107174,56.31,es_wellnessandbeauty,0
C1353625448,M1888755466,219.83,es_otherservices,0
C1979396384,M1649169323,117.57,es_sportsandtoys,0
C1519265307,M1600850729,24.91,es_fashion,0
C76313164,M1946091778,4.16,es_wellnessandbeauty,0
C1569014356,M1823072687,41.53,es_transportation,0
C1433132752,M692898500,136.25,es_health,0
C1898673978,M692898500,70.48,es_health,0
C1630697663,M855959430,38.38,es_hyper,0
C563092648,M85975013,25.98,es_food,0
C313157633,M348934600,13.22,es_transportation,0
C483485800,M45060432,187.27,es_hotelservices,0
C367433559,M1823072687,13.28,es_transportation,0
C1415168453,M85975013,0.7,es_food,0
C1038722314,M209847108,36.89,es_wellnessandbeauty,0
C2105324799,M480139044,26.1,es_health,0
C272752096,M1600850729,46.33,es_fashion,0
C2015203999,M1600850729,122.11,es_fashion,0
C1179833140,M348934600,13.18,es_transportation,0
